gene	exprA	exprB
all0001	1109	2202
all0002	1094	1373.25
all0004	1968.5	7153.5
all0005	4892.75	7768.75
all0006	10175.2	15089.5
all0007	4971	6861
all0008	6277.5	9637.75
all0010	15528.5	24387.5
all0011	13805.5	18766.2
all0012	883.5	4519
all0015	3788.75	10728.2
all0016	4022.75	8881.75
all0017	78.75	92.25
all0025	466.5	388
all0028	3644	2337.5
all0032	842.5	1873.5
all0036	1053.75	5496
all0037	1303	4916.5
all0040	1866.75	9939
all0041	1666.5	5500.25
all0042	1465.5	7698
all0047	1609	4618.25
all0048	2778.5	6145.75
all0049	805.5	2267
all0050	6947.75	6550.25
all0059	368.75	2157.5
all0061	1276.75	3114
all0065	926.25	4352
all0066	1332.75	6359
all0067	660	1284
all0070	2622.25	4906.25
all0071	1949	1690.25
all0082	1043.5	2716.75
all0085	1060	3294.5
all0086	2499.75	4863.5
all0087	4472.75	9363
all0089	900	3170.75
all0107	18416.5	35202.5
all0109	19723	32357
all0111	2719	7574.5
all0112	1657.5	3184
all0118	1724.75	4496.5
all0119	2054.25	4773.25
all0120	876	2328.5
all0121	2463.75	3025
all0122	2455.5	7139.75
all0123	504.5	596
all0126	2407.25	5146
all0127	1004.75	1506.75
all0129	2663.25	5533.5
all0131	582	481
all0133	501	857.75
all0134	1538.25	2026.5
all0135	405.5	808
all0136	6327.75	8856.5
all0138	13326.2	13420.8
all0139	571.25	462.25
all0143	1925.75	6644
all0144	5251	14356.2
all0147	6586.25	5443
all0152	1852.5	4014
all0154	2345.25	6871.5
all0155	448.5	938.5
all0156	365.25	467.75
all0157	261.5	380.5
all0158	193.5	167.25
all0160	782.5	2251.5
all0161	1084	727.5
all0164	24587	3509
all0166	2723	479
all0167	613.25	281
all0168	5060.5	562.5
all0170	536	2526.5
all0172	4706.5	6427.25
all0173	3657	10713.8
all0174	1120.75	3699.5
all0177	174.5	905.25
all0178	320.5	858.5
all0182	840	1349
all0184	3550.5	5295.75
all0185	1207	4867
all0186	2231	4155.75
all0187	6748.75	11962
all0192	194.75	255
all0193	664.5	867
all0195	960	755.5
all0197	1836.25	2455.75
